iter	Passed	Remaining
471	676	756
472	677	754
473	678	752
474	679	750
475	680	748
476	681	746
477	681	744
478	683	742
479	684	741
480	685	739
481	686	737
482	687	735
483	688	733
484	689	731
485	690	730
486	691	728
487	692	726
488	693	724
489	694	722
490	695	720
491	696	718
492	697	717
493	698	715
494	699	713
495	700	711
496	701	710
497	702	708
498	703	706
499	704	704
500	705	702
501	706	701
502	707	699
503	708	697
504	709	695
505	710	694
506	712	692
507	713	690
508	714	689
509	715	687
510	716	685
511	717	683
512	718	682
513	719	680
514	720	678
515	721	677
516	723	675
517	724	673
518	725	671
519	726	670
520	727	668
521	728	666
522	729	665
523	730	663
524	731	662
525	732	660
526	733	658
527	734	656
528	735	655
529	736	653
530	737	651
531	739	650
532	740	648
533	741	646
534	742	645
535	743	643
536	744	641
537	745	640
538	746	638
539	747	636
540	748	634
541	749	633
542	750	631
543	751	629
544	752	628
545	753	626
546	754	624
547	755	622
548	756	621
549	757	619
550	758	618
551	759	616
552	760	614
553	761	613
554	762	611
555	764	610
556	765	608
557	766	607
558	767	605
559	768	603
560	769	602
561	771	601
562	772	599
563	773	597
564	774	596
565	775	594
566	776	592
567	777	591
568	778	589
569	778	587
570	779	585
571	780	584
572	782	582
573	783	581
574	784	579
575	785	578
576	786	576
577	787	574
578	788	573
579	789	571
580	790	570
581	791	568
582	792	566
583	793	565
584	794	563
585	795	561
586	796	560
587	797	558
588	798	557
589	799	555
590	800	554
591	801	552
592	802	550
593	803	549
594	804	547
595	805	546
596	806	544
597	807	543
598	808	541
599	809	539
600	810	538
601	812	536
602	813	535
603	813	533
604	814	532
605	815	530
606	816	528
607	817	527
608	818	525
609	819	524
610	820	522
611	821	520
612	822	519
613	823	517
614	824	516
615	825	514
616	826	513
617	827	511
618	828	510
619	829	508
620	830	507
621	831	505
622	832	503
623	833	502
624	834	500
625	835	499
626	836	497
627	837	496
628	838	494
629	839	493
630	840	491
631	841	490
632	842	488
633	843	487
634	844	485
635	845	484
636	846	482
637	847	481
638	848	479
639	849	477
640	850	476
641	851	474
642	852	473
643	853	471
644	854	470
645	855	468
646	856	467
647	857	466
648	858	464
649	860	463
650	861	461
651	862	460
652	863	458
653	864	457
654	865	455
655	866	454
656	867	452
657	868	451
658	869	449
659	870	448
660	871	447
661	872	445
662	873	444
663	874	442
664	875	441
665	876	439
666	877	438
667	878	436
668	879	435
669	880	433
670	881	432
671	882	430
672	883	429
673	884	427
674	885	426
675	887	425
676	888	423
677	889	422
678	890	420
679	891	419
680	892	417
681	893	416
682	894	414
683	895	413
684	895	411
685	897	410
686	898	409
687	899	407
688	900	406
689	901	405
690	902	403
691	903	402
692	904	400
693	905	399
694	906	398
695	907	396
696	908	395
697	909	393
698	910	392
699	911	390
700	912	389
701	913	387
702	914	386
703	915	385
704	916	383
705	917	382
706	918	380
707	919	379
708	920	377
709	921	376
710	922	374
711	923	373
712	924	372
713	925	370
714	926	369
715	927	367
716	928	366
717	929	365
718	930	363
719	931	362
720	932	360
721	933	359
722	934	358
723	935	356
724	936	355
725	937	353
726	938	352
727	939	351
728	940	349
729	941	348
730	942	346
731	943	345
732	944	344
733	945	342
734	946	341
735	947	340
736	948	338
737	949	337
738	950	335
739	951	334
740	952	333
741	953	331
742	954	330
743	955	328
744	957	327
745	958	326
746	958	324
747	959	323
748	960	322
749	962	320
750	963	319
751	964	317
752	965	316
753	966	315
754	966	313
755	967	312
756	968	311
757	970	309
758	970	308
759	972	306
760	973	305
761	974	304
762	975	302
763	976	301
764	977	300
765	978	298
766	979	297
767	980	296
768	981	294
769	982	293
770	983	292
771	984	290
772	985	289
773	986	288
774	987	286
775	988	285
776	989	284
777	990	282
778	992	281
779	993	280
780	994	278
781	995	277
782	996	276
783	997	274
784	998	273
785	999	272
786	1000	270
787	1001	269
788	1002	268
789	1003	266
790	1004	265
791	1005	263
792	1006	262
793	1007	261
794	1008	260
795	1010	258
796	1011	257
797	1012	256
798	1013	254
799	1014	253
800	1015	252
801	1016	250
802	1017	249
803	1018	248
804	1019	246
805	1020	245
806	1021	244
807	1022	243
808	1023	241
809	1024	240
810	1025	239
811	1026	237
812	1027	236
813	1029	235
814	1030	233
815	1031	232
816	1032	231
817	1032	229
818	1033	228
819	1034	227
820	1036	225
821	1037	224
822	1038	223
823	1039	221
824	1040	220
825	1041	219
826	1042	218
827	1043	216
828	1044	215
829	1045	214
830	1046	212
831	1047	211
832	1048	210
833	1049	208
834	1050	207
835	1051	206
836	1052	204
837	1053	203
838	1054	202
839	1055	201
840	1056	199
841	1057	198
842	1058	197
843	1059	195
844	1060	194
845	1061	193
846	1062	191
847	1062	190
848	1063	189
849	1064	187
850	1065	186
851	1067	185
852	1068	184
853	1069	182
854	1070	181
855	1071	180
856	1072	178
857	1073	177
858	1074	176
859	1075	175
860	1076	173
861	1077	172
862	1078	171
863	1079	169
864	1080	168
865	1081	167
866	1082	166
867	1083	164
868	1085	163
869	1086	162
870	1087	161
871	1088	159
872	1089	158
873	1090	157
874	1091	155
875	1092	154
876	1093	153
877	1094	152
878	1095	150
879	1097	149
880	1098	148
881	1099	147
882	1101	145
883	1102	144
884	1103	143
885	1104	142
886	1105	140
887	1106	139
888	1107	138
889	1108	136
890	1109	135
891	1110	134
892	1111	133
893	1112	131
894	1113	130
895	1114	129
896	1115	128
897	1116	126
898	1117	125
899	1118	124
900	1119	123
901	1120	121
902	1121	120
903	1122	119
904	1123	117
905	1124	116
906	1125	115
907	1126	114
908	1128	112
909	1129	111
910	1130	110
911	1131	109
912	1132	107
913	1133	106
914	1134	105
915	1135	104
916	1136	102
917	1137	101
918	1138	100
919	1139	99
920	1140	97
921	1141	96
922	1142	95
923	1144	94
924	1144	92
925	1146	91
926	1147	90
927	1148	89
928	1148	87
929	1149	86
930	1150	85
931	1151	84
932	1152	82
933	1153	81
934	1154	80
935	1156	79
936	1157	77
937	1158	76
938	1159	75
939	1160	74
940	1161	72
941	1162	71
942	1163	70
943	1164	69
944	1165	67
945	1166	66
946	1167	65
947	1168	64
948	1169	62
949	1170	61
950	1171	60
951	1172	59
952	1173	57
